user,kpp_score
ArsenaleKappa,7293.0
Palazzo_Chigi,7293.0
ItalyMFA,7293.0
Wu_Ming_Foundt,7293.0
miticofabio98,7293.0
dawac72,4859.0
CleliaMussari,4859.0
pdnetwork,4859.0
mauriziobernava,4859.0
catepol,4859.0
FranFerrante,4859.0
paolo_solia,4859.0
PagliariniSte,4859.0
Milutta,4859.0
enzo958,4859.0
LabParlamento,4859.0
toiapatrizia,4859.0
repubblicait,4859.0
MarcoMariani_IT,4859.0
piccolapini,4859.0
PiramideRossa,4859.0
Lux_Cipolletta,4859.0
bobogiac,4859.0
valiante_s,4859.0
StefanoFeltri,4859.0
dariofrance,4859.0
giuliainnocenzi,4859.0
CdGherardesca,4859.0
Agenzia_Ansa,4859.0
piercamillo,4859.0
PaoloScilinguo,4859.0
mariannaaprile,4859.0
SkyTG24,4859.0
paoloigna1,4859.0
DBking85,4859.0
ilghiozzo,4859.0
MEF_GOV,4859.0
pierofassino,4859.0
taddei76,4859.0
fortunatolino,4859.0
maurorizzi_mr,4859.0
fabiofr,4859.0
LiberiSI_Italia,4859.0
HORASDESIGN,4859.0
Reset_Italia,4859.0
AnnaAscani,4859.0
secolourbano,4859.0
ivanscalfarotto,4859.0
toptweets_ita,4859.0
AlbertoMPilotto,4859.0
seggen56,4859.0
annapaolaconcia,4859.0
laurabagnoli,4859.0
fannicanelles,4859.0
FrancoBechis,4859.0
la_pippi,4859.0
Adnkronos,4859.0
g_falcomata,4859.0
davidefaraone,4859.0
Mosquitas77,4859.0
VanniPetrelli,4859.0
LiaCeli,4859.0
SteSantachiara,4859.0
RaiNews,4859.0
matteorenzi,4859.0
SenatoStampa,4859.0
Linkiesta,4859.0
giuseppeadurno,4859.0
TgrRai,4859.0
FranceManto64,4859.0
MpMau,4859.0
stefanoesposito,4859.0
LaStampa,4859.0
MatteoRichetti,4859.0
Giorgiolaporta,4859.0
YouReporter,4859.0
FDebenedetti,4859.0
mariamedici10,4859.0
ThManfredi,4859.0
marcodecade,4859.0
gioianniello,4859.0
orfini,4859.0
MattBiff,4859.0
Filippo_Casini,4859.0
MediasetTgcom24,4859.0
ciropellegrino,4859.0
ale_moretti,4859.0
giorgio_gori,4859.0
mipiaceBarca,4859.0
MinSviluppo,4859.0
lucia_pal,4859.0
antonellocapor2,4859.0
SerglocSergio,4859.0
BlitzQuotidiano,4859.0
rotanicolas,4859.0
giusmo1,4859.0
Rinaldi_euro,4859.0
artdielle,4859.0
Gianciarla,4859.0
Jo_Fuck,4859.0
alfredodattorre,4859.0
SteGiannini,4859.0
VITAnonprofit,4859.0
Alb4ChicoForti,4859.0
fabryegio,4859.0
antgentile,4859.0
leddapl,4859.0
PietroIchino,4859.0
CarloStagnaro,4859.0
comunefi,4859.0
virgiliofalco,4859.0
brandobenifei,4859.0
Marco_Casellato,4859.0
tg2rai,4859.0
siceid,4859.0
discordoconme,4859.0
RobyLibera5,4859.0
Luca_Mussati,4859.0
Gianluca800,4859.0
marcoregni,4859.0
Adrian_in_it,4859.0
Leonardobecchet,4859.0
AndreaCerase,4859.0
LuigiManconi1,4859.0
riotta,4859.0
claudiamedd,4859.0
breveinutile,4859.0
PuglisiPD,4859.0
donnadimezzo,4859.0
