iteration,support,n
-1,Neutral,28932
-1,No,1000
-1,Yes,1000
0,No,12560
0,Yes,18372
1,No,11248
1,Yes,19684
2,No,9448
2,Yes,21484
3,No,8597
3,Yes,22335
4,No,8672
4,Yes,22260
5,No,8068
5,Yes,22864
6,No,7458
6,Yes,23474
7,No,6574
7,Yes,24358
8,No,5741
8,Yes,25191
9,No,4898
9,Yes,26034
10,No,3674
10,Yes,27258
11,No,2682
11,Yes,28250
12,No,1967
12,Yes,28965
13,No,1410
13,Yes,29522
14,No,277
14,Yes,30655
15,No,21
15,Yes,30911
16,Yes,30932
17,Yes,30932
18,Yes,30932
19,Yes,30932
20,Yes,30932
21,Yes,30932
22,Yes,30932
23,Yes,30932
24,Yes,30932
25,Yes,30932
26,Yes,30932
