iteration,support,n
-1,Neutral,21712
-1,No,6432
-1,Yes,2788
0,No,22494
0,Yes,8438
1,No,23718
1,Yes,7214
2,No,23677
2,Yes,7255
3,No,22782
3,Yes,8150
4,No,22069
4,Yes,8863
5,No,20341
5,Yes,10591
6,No,18833
6,Yes,12099
7,No,17180
7,Yes,13752
8,No,16107
8,Yes,14825
9,No,15033
9,Yes,15899
10,No,14002
10,Yes,16930
11,No,13146
11,Yes,17786
12,No,12571
12,Yes,18361
13,No,11841
13,Yes,19091
14,No,11265
14,Yes,19667
15,No,10554
15,Yes,20378
16,No,9917
16,Yes,21015
17,No,9345
17,Yes,21587
18,No,8904
18,Yes,22028
19,No,8432
19,Yes,22500
20,No,7957
20,Yes,22975
21,No,7252
21,Yes,23680
22,No,6447
22,Yes,24485
23,No,5451
23,Yes,25481
24,No,4307
24,Yes,26625
25,No,3197
25,Yes,27735
26,No,2362
26,Yes,28570
27,No,1739
27,Yes,29193
28,No,1188
28,Yes,29744
29,No,702
29,Yes,30230
30,No,689
30,Yes,30243
31,No,687
31,Yes,30245
32,No,687
32,Yes,30245
