iteration,support,n
-1,Neutral,28932
-1,No,1000
-1,Yes,1000
0,No,20895
0,Yes,10037
1,No,19659
1,Yes,11273
2,No,17108
2,Yes,13824
3,No,15492
3,Yes,15440
4,No,14274
4,Yes,16658
5,No,13271
5,Yes,17661
6,No,12508
6,Yes,18424
7,No,11621
7,Yes,19311
8,No,10956
8,Yes,19976
9,No,9528
9,Yes,21404
10,No,8016
10,Yes,22916
11,No,7890
11,Yes,23042
12,No,6667
12,Yes,24265
13,No,5915
13,Yes,25017
14,No,5808
14,Yes,25124
15,No,4850
15,Yes,26082
16,No,3609
16,Yes,27323
17,No,2547
17,Yes,28385
18,No,1790
18,Yes,29142
19,No,1114
19,Yes,29818
20,No,644
20,Yes,30288
21,No,638
21,Yes,30294
22,No,638
22,Yes,30294
