iteration,support,n
-1,Neutral,28932
-1,No,1000
-1,Yes,1000
0,No,15060
0,Yes,15872
1,No,14905
1,Yes,16027
2,No,14809
2,Yes,16123
3,No,14733
3,Yes,16199
4,No,14698
4,Yes,16234
5,No,14670
5,Yes,16262
6,No,14649
6,Yes,16283
7,No,14638
7,Yes,16294
8,No,14633
8,Yes,16299
9,No,14627
9,Yes,16305
10,No,14622
10,Yes,16310
11,No,14616
11,Yes,16316
12,No,14614
12,Yes,16318
13,No,14613
13,Yes,16319
14,No,14612
14,Yes,16320
15,No,14609
15,Yes,16323
16,No,14609
16,Yes,16323
17,No,14609
17,Yes,16323
18,No,14609
18,Yes,16323
19,No,14609
19,Yes,16323
20,No,14609
20,Yes,16323
21,No,14609
21,Yes,16323
22,No,14609
22,Yes,16323
23,No,14609
23,Yes,16323
24,No,14609
24,Yes,16323
25,No,14609
25,Yes,16323
