term,cluster,support,number_of_tweets
abruzzo,1,yes,34
accordo,1,yes,74
affrontare,1,yes,41
aiutare,1,yes,27
aledibattista,1,yes,30
allultimo,1,yes,19
amatrice,1,yes,26
ancona,1,yes,96
andare,1,yes,44
andrearomano,1,yes,19
annaleonardi,1,yes,28
ansait,1,yes,39
arriva,1,yes,43
aspetta,1,yes,19
aspettando,1,yes,23
aspettiamo,1,yes,44
attacca,1,yes,51
base,1,yes,35
bel,1,yes,43
bellezza,1,yes,36
bellissima,1,yes,40
bellissimo,1,yes,21
bersani,1,yes,33
bici,1,yes,32
bisogna,1,yes,44
blocco,1,yes,41
bologna,1,yes,199
brunetta,1,yes,22
bruxelles,1,yes,39
bugie,1,yes,21
burocrazia,1,yes,71
calabria,1,yes,49
cambi,1,yes,19
capire,1,yes,46
carabinieri,1,yes,58
caserma,1,yes,26
casta,1,yes,29
ce,1,yes,362
cgilnazionale,1,yes,32
chiara,1,yes,22
chissa,1,yes,26
chiuso,1,yes,21
coerenza,1,yes,29
comitati,1,yes,26
complimenti,1,yes,29
comune,1,yes,46
contratti,1,yes,52
contratto,1,yes,172
contrattopa,1,yes,52
corteo,1,yes,23
cose,1,yes,129
credo,1,yes,47
dalema,1,yes,61
danielecina,1,yes,107
danieledvpd,1,yes,24
dare,1,yes,83
decidere,1,yes,24
dellaccordo,1,yes,37
dellulivo,1,yes,21
democratica,1,yes,26
democrazia,1,yes,135
destra,1,yes,48
dibattista,1,yes,27
dicendo,1,yes,23
dignita,1,yes,20
dipendenti,1,yes,43
discordoconme,1,yes,32
dobbiamo,1,yes,67
domenicalive,1,yes,181
dovere,1,yes,28
efficiente,1,yes,39
eh,1,yes,39
elezioni,1,yes,27
eliminare,1,yes,26
entusiasmo,1,yes,27
felice,1,yes,34
fiducia,1,yes,52
figli,1,yes,42
fillon,1,yes,20
firma,1,yes,88
fondo,1,yes,28
francesco,1,yes,36
fronte,1,yes,49
giampaologalli,1,yes,23
gioia,1,yes,19
giovani,1,yes,73
grandi,1,yes,47
grillino,1,yes,24
gt,1,yes,25
idee,1,yes,24
impiego,1,yes,25
incontro,1,yes,97
inmezzora,1,yes,24
insiemesicambia,1,yes,27
italiano,1,yes,48
laccordo,1,yes,37
larena,1,yes,19
larma,1,yes,20
lasciare,1,yes,25
lavoltabuona,1,yes,51
lavoratori,1,yes,75
leader,1,yes,45
lega,1,yes,26
leggere,1,yes,61
letto,1,yes,24
liberta,1,yes,35
litalia,1,yes,405
lulivo,1,yes,31
mani,1,yes,20
mano,1,yes,47
marcomarianiit,1,yes,29
massimo,1,yes,27
matrix,1,yes,36
mauriziolupi,1,yes,42
maxxi,1,yes,30
merito,1,yes,111
metalmeccanici,1,yes,130
michele,1,yes,27
minuti,1,yes,24
monza,1,yes,32
motivazioni,1,yes,20
nuove,1,yes,20
p,1,yes,28
paeserenzi,1,yes,20
pancia,1,yes,63
parliamo,1,yes,32
parma,1,yes,24
parole,1,yes,80
partecipazione,1,yes,39
partita,1,yes,27
passato,1,yes,24
passodopopasso,1,yes,52
pe,1,yes,20
pensiero,1,yes,21
perfetta,1,yes,29
perso,1,yes,21
pesaro,1,yes,37
pezzo,1,yes,21
piace,1,yes,47
piena,1,yes,24
pochi,1,yes,43
politica,1,yes,252
politico,1,yes,44
pomeriggio,1,yes,37
popolo,1,yes,29
porta,1,yes,72
portaaporta,1,yes,121
portato,1,yes,37
possibile,1,yes,49
possibilita,1,yes,30
posso,1,yes,26
possono,1,yes,52
post,1,yes,36
premier,1,yes,26
principio,1,yes,24
problema,1,yes,36
prodi,1,yes,235
prof,1,yes,43
profilo,1,yes,20
progetti,1,yes,26
pubblici,1,yes,82
pubblico,1,yes,101
puntata,1,yes,20
qual,1,yes,19
qualita,1,yes,52
ragione,1,yes,44
rai,1,yes,51
referendumcostituzionale,1,yes,390
regionale,1,yes,20
regole,1,yes,36
rende,1,yes,54
rendere,1,yes,51
renzi,1,yes,1188
resta,1,yes,30
restare,1,yes,25
riconoscere,1,yes,24
ricostruzione,1,yes,29
ridurre,1,yes,24
riforme,1,yes,106
riguarda,1,yes,24
rimborsi,1,yes,23
risparmio,1,yes,24
robertapinotti,1,yes,23
romano,1,yes,100
rt,1,yes,32
sa,1,yes,50
salvini,1,yes,187
santoro,1,yes,35
sapere,1,yes,21
scelta,1,yes,66
scritto,1,yes,43
scuola,1,yes,60
scusa,1,yes,21
semplificare,1,yes,21
senatoripd,1,yes,58
servizi,1,yes,40
sicilia,1,yes,35
signori,1,yes,20
sindacati,1,yes,53
sindaco,1,yes,196
sinistra,1,yes,81
siono,1,yes,22
sistema,1,yes,89
solidarieta,1,yes,46
specialereferendum,1,yes,114
spero,1,yes,28
statali,1,yes,43
stefanoceccanti,1,yes,28
storia,1,yes,88
storico,1,yes,28
studio,1,yes,19
supersi,1,yes,59
suvereto,1,yes,21
sviluppo,1,yes,61
szampa,1,yes,20
tante,1,yes,65
tanti,1,yes,120
tantissimi,1,yes,26
terremoto,1,yes,107
testa,1,yes,84
tocca,1,yes,82
torre,1,yes,21
travaglio,1,yes,32
tribunale,1,yes,20
uilm,1,yes,24
usare,1,yes,25
valore,1,yes,29
vede,1,yes,31
vedo,1,yes,24
vinciamo,1,yes,19
violante,1,yes,27
virginiaraggi,1,yes,57
voglia,1,yes,33
vogliono,1,yes,24
volete,1,yes,54
voluto,1,yes,26
vorrei,1,yes,29
vota,1,yes,315
votazioni,1,yes,19
votera,1,yes,35
votero,1,yes,39
voti,1,yes,64
vuol,1,yes,22
vuole,1,yes,130
wepesaro,1,yes,21
abolire,2,yes,21
addio,2,yes,19
agenziaansa,2,yes,20
aleppo,2,yes,19
alto,2,yes,34
amici,2,yes,64
amministratori,2,yes,27
andiamo,2,yes,26
andrea,2,yes,32
appena,2,yes,20
approvata,2,yes,50
appuntamenti,2,yes,26
appuntamento,2,yes,56
apre,2,yes,22
argomenti,2,yes,21
aspetto,2,yes,61
assente,2,yes,20
assieme,2,yes,20
attenzione,2,yes,19
aumenta,2,yes,25
aumento,2,yes,43
avra,2,yes,35
basse,2,yes,31
bella,2,yes,118
beppe,2,yes,37
beppegrillo,2,yes,39
bergamo,2,yes,33
bicameralismo,2,yes,84
bilancio,2,yes,56
bloccato,2,yes,44
bravi,2,yes,32
buon,2,yes,64
buone,2,yes,45
buongiorno,2,yes,55
calligrafica,2,yes,23
cambiera,2,yes,32
camera,2,yes,106
camere,2,yes,25
campo,2,yes,42
canale,2,yes,24
carlosantaroni,2,yes,67
casapound,2,yes,21
causa,2,yes,31
cervello,2,yes,47
chiede,2,yes,35
chiesa,2,yes,20
chiesto,2,yes,22
civile,2,yes,33
clima,2,yes,19
commissione,2,yes,40
conferenza,2,yes,29
confronto,2,yes,117
continua,2,yes,37
continuare,2,yes,34
continuiamo,2,yes,20
convegno,2,yes,20
corriere,2,yes,34
corruzione,2,yes,31
corso,2,yes,22
corte,2,yes,22
cremona,2,yes,28
cresce,2,yes,30
crescita,2,yes,88
crisi,2,yes,33
cultura,2,yes,63
cure,2,yes,22
dati,2,yes,39
de,2,yes,115
dedicato,2,yes,23
dellitalia,2,yes,49
democratico,2,yes,20
deputata,2,yes,53
deputati,2,yes,37
deputatipd,2,yes,89
deputato,2,yes,30
dettagli,2,yes,22
devono,2,yes,43
difendere,2,yes,19
difesa,2,yes,19
direttamente,2,yes,31
diritti,2,yes,21
