term,graph_k_core,date,number_of_tweets
renatapolverini,1,2016-11-26T15:00,53.0
renatapolverini,1,2016-11-26T18:00,23.0
renatapolverini,1,2016-11-26T21:00,0.0
renatapolverini,1,2016-11-27T00:00,0.0
renatapolverini,1,2016-11-27T03:00,0.0
renatapolverini,1,2016-11-27T06:00,0.0
renatapolverini,1,2016-11-27T09:00,0.0
renatapolverini,1,2016-11-27T12:00,1.0
renatapolverini,1,2016-11-27T15:00,0.0
renatapolverini,1,2016-11-27T18:00,0.0
renatapolverini,1,2016-11-27T21:00,0.0
renatapolverini,1,2016-11-28T00:00,0.0
renatapolverini,1,2016-11-28T03:00,0.0
renatapolverini,1,2016-11-28T06:00,0.0
renatapolverini,1,2016-11-28T09:00,0.0
renatapolverini,1,2016-11-28T12:00,0.0
renatapolverini,1,2016-11-28T15:00,63.0
renatapolverini,1,2016-11-28T18:00,32.0
renatapolverini,1,2016-11-28T21:00,0.0
renatapolverini,1,2016-11-29T00:00,0.0
renatapolverini,1,2016-11-29T03:00,0.0
renatapolverini,1,2016-11-29T06:00,0.0
renatapolverini,1,2016-11-29T09:00,0.0
renatapolverini,1,2016-11-29T12:00,2.0
renatapolverini,1,2016-11-29T15:00,0.0
renatapolverini,1,2016-11-29T18:00,0.0
renatapolverini,1,2016-11-29T21:00,0.0
renatapolverini,1,2016-11-30T00:00,0.0
renatapolverini,1,2016-11-30T03:00,0.0
renatapolverini,1,2016-11-30T06:00,0.0
renatapolverini,1,2016-11-30T09:00,0.0
renatapolverini,1,2016-11-30T12:00,1.0
renatapolverini,1,2016-11-30T15:00,0.0
renatapolverini,1,2016-11-30T18:00,1.0
renatapolverini,1,2016-11-30T21:00,0.0
renatapolverini,1,2016-12-01T00:00,0.0
renatapolverini,1,2016-12-01T03:00,0.0
renatapolverini,1,2016-12-01T06:00,0.0
renatapolverini,1,2016-12-01T09:00,0.0
renatapolverini,1,2016-12-01T12:00,41.0
renatapolverini,1,2016-12-01T15:00,0.0
renatapolverini,1,2016-12-01T18:00,41.0
renatapolverini,1,2016-12-01T21:00,1.0
renatapolverini,1,2016-12-02T00:00,0.0
renatapolverini,1,2016-12-02T03:00,0.0
renatapolverini,1,2016-12-02T06:00,3.0
renatapolverini,1,2016-12-02T09:00,23.0
renatapolverini,1,2016-12-02T12:00,21.0
milakmperilno,1,2016-11-26T15:00,70.0
milakmperilno,1,2016-11-26T18:00,6.0
milakmperilno,1,2016-11-26T21:00,0.0
milakmperilno,1,2016-11-27T00:00,0.0
milakmperilno,1,2016-11-27T03:00,0.0
milakmperilno,1,2016-11-27T06:00,0.0
milakmperilno,1,2016-11-27T09:00,0.0
milakmperilno,1,2016-11-27T12:00,0.0
milakmperilno,1,2016-11-27T15:00,0.0
milakmperilno,1,2016-11-27T18:00,0.0
milakmperilno,1,2016-11-27T21:00,0.0
milakmperilno,1,2016-11-28T00:00,0.0
milakmperilno,1,2016-11-28T03:00,0.0
milakmperilno,1,2016-11-28T06:00,0.0
milakmperilno,1,2016-11-28T09:00,1.0
milakmperilno,1,2016-11-28T12:00,0.0
milakmperilno,1,2016-11-28T15:00,98.0
milakmperilno,1,2016-11-28T18:00,35.0
milakmperilno,1,2016-11-28T21:00,0.0
milakmperilno,1,2016-11-29T00:00,0.0
milakmperilno,1,2016-11-29T03:00,0.0
milakmperilno,1,2016-11-29T06:00,0.0
milakmperilno,1,2016-11-29T09:00,0.0
milakmperilno,1,2016-11-29T12:00,0.0
milakmperilno,1,2016-11-29T15:00,0.0
milakmperilno,1,2016-11-29T18:00,0.0
milakmperilno,1,2016-11-29T21:00,0.0
milakmperilno,1,2016-11-30T00:00,0.0
milakmperilno,1,2016-11-30T03:00,0.0
milakmperilno,1,2016-11-30T06:00,0.0
milakmperilno,1,2016-11-30T09:00,1.0
milakmperilno,1,2016-11-30T12:00,1.0
milakmperilno,1,2016-11-30T15:00,3.0
milakmperilno,1,2016-11-30T18:00,0.0
milakmperilno,1,2016-11-30T21:00,0.0
milakmperilno,1,2016-12-01T00:00,0.0
milakmperilno,1,2016-12-01T03:00,0.0
milakmperilno,1,2016-12-01T06:00,2.0
milakmperilno,1,2016-12-01T09:00,2.0
milakmperilno,1,2016-12-01T12:00,62.0
milakmperilno,1,2016-12-01T15:00,1.0
milakmperilno,1,2016-12-01T18:00,59.0
milakmperilno,1,2016-12-01T21:00,2.0
milakmperilno,1,2016-12-02T00:00,0.0
milakmperilno,1,2016-12-02T03:00,0.0
milakmperilno,1,2016-12-02T06:00,0.0
milakmperilno,1,2016-12-02T09:00,31.0
milakmperilno,1,2016-12-02T12:00,18.0
lavoratoriperilno,1,2016-11-26T15:00,65.0
lavoratoriperilno,1,2016-11-26T18:00,9.0
lavoratoriperilno,1,2016-11-26T21:00,0.0
lavoratoriperilno,1,2016-11-27T00:00,0.0
lavoratoriperilno,1,2016-11-27T03:00,0.0
lavoratoriperilno,1,2016-11-27T06:00,0.0
lavoratoriperilno,1,2016-11-27T09:00,0.0
lavoratoriperilno,1,2016-11-27T12:00,0.0
lavoratoriperilno,1,2016-11-27T15:00,0.0
lavoratoriperilno,1,2016-11-27T18:00,0.0
lavoratoriperilno,1,2016-11-27T21:00,0.0
lavoratoriperilno,1,2016-11-28T00:00,0.0
lavoratoriperilno,1,2016-11-28T03:00,0.0
lavoratoriperilno,1,2016-11-28T06:00,0.0
lavoratoriperilno,1,2016-11-28T09:00,1.0
lavoratoriperilno,1,2016-11-28T12:00,0.0
lavoratoriperilno,1,2016-11-28T15:00,86.0
lavoratoriperilno,1,2016-11-28T18:00,24.0
lavoratoriperilno,1,2016-11-28T21:00,0.0
lavoratoriperilno,1,2016-11-29T00:00,0.0
lavoratoriperilno,1,2016-11-29T03:00,0.0
lavoratoriperilno,1,2016-11-29T06:00,0.0
lavoratoriperilno,1,2016-11-29T09:00,0.0
lavoratoriperilno,1,2016-11-29T12:00,0.0
lavoratoriperilno,1,2016-11-29T15:00,0.0
lavoratoriperilno,1,2016-11-29T18:00,0.0
lavoratoriperilno,1,2016-11-29T21:00,0.0
lavoratoriperilno,1,2016-11-30T00:00,0.0
lavoratoriperilno,1,2016-11-30T03:00,0.0
lavoratoriperilno,1,2016-11-30T06:00,0.0
lavoratoriperilno,1,2016-11-30T09:00,0.0
lavoratoriperilno,1,2016-11-30T12:00,1.0
lavoratoriperilno,1,2016-11-30T15:00,0.0
lavoratoriperilno,1,2016-11-30T18:00,0.0
lavoratoriperilno,1,2016-11-30T21:00,1.0
lavoratoriperilno,1,2016-12-01T00:00,0.0
lavoratoriperilno,1,2016-12-01T03:00,0.0
lavoratoriperilno,1,2016-12-01T06:00,0.0
lavoratoriperilno,1,2016-12-01T09:00,0.0
lavoratoriperilno,1,2016-12-01T12:00,48.0
lavoratoriperilno,1,2016-12-01T15:00,0.0
lavoratoriperilno,1,2016-12-01T18:00,46.0
lavoratoriperilno,1,2016-12-01T21:00,0.0
lavoratoriperilno,1,2016-12-02T00:00,0.0
lavoratoriperilno,1,2016-12-02T03:00,0.0
lavoratoriperilno,1,2016-12-02T06:00,0.0
lavoratoriperilno,1,2016-12-02T09:00,26.0
lavoratoriperilno,1,2016-12-02T12:00,16.0
salvini,2,2016-11-26T15:00,13.0
salvini,2,2016-11-26T18:00,8.0
salvini,2,2016-11-26T21:00,9.0
salvini,2,2016-11-27T00:00,0.0
salvini,2,2016-11-27T03:00,0.0
salvini,2,2016-11-27T06:00,6.0
salvini,2,2016-11-27T09:00,23.0
salvini,2,2016-11-27T12:00,23.0
salvini,2,2016-11-27T15:00,99.0
salvini,2,2016-11-27T18:00,21.0
salvini,2,2016-11-27T21:00,3.0
salvini,2,2016-11-28T00:00,0.0
salvini,2,2016-11-28T03:00,0.0
salvini,2,2016-11-28T06:00,9.0
salvini,2,2016-11-28T09:00,14.0
salvini,2,2016-11-28T12:00,16.0
salvini,2,2016-11-28T15:00,17.0
salvini,2,2016-11-28T18:00,72.0
salvini,2,2016-11-28T21:00,27.0
salvini,2,2016-11-29T00:00,0.0
salvini,2,2016-11-29T03:00,0.0
salvini,2,2016-11-29T06:00,11.0
salvini,2,2016-11-29T09:00,24.0
salvini,2,2016-11-29T12:00,27.0
salvini,2,2016-11-29T15:00,11.0
salvini,2,2016-11-29T18:00,34.0
salvini,2,2016-11-29T21:00,18.0
salvini,2,2016-11-30T00:00,0.0
salvini,2,2016-11-30T03:00,0.0
salvini,2,2016-11-30T06:00,6.0
salvini,2,2016-11-30T09:00,41.0
salvini,2,2016-11-30T12:00,16.0
salvini,2,2016-11-30T15:00,14.0
salvini,2,2016-11-30T18:00,38.0
salvini,2,2016-11-30T21:00,95.0
salvini,2,2016-12-01T00:00,3.0
salvini,2,2016-12-01T03:00,0.0
salvini,2,2016-12-01T06:00,18.0
salvini,2,2016-12-01T09:00,16.0
salvini,2,2016-12-01T12:00,22.0
salvini,2,2016-12-01T15:00,19.0
salvini,2,2016-12-01T18:00,21.0
salvini,2,2016-12-01T21:00,79.0
salvini,2,2016-12-02T00:00,1.0
salvini,2,2016-12-02T03:00,0.0
salvini,2,2016-12-02T06:00,25.0
salvini,2,2016-12-02T09:00,41.0
salvini,2,2016-12-02T12:00,36.0
novembre,2,2016-11-26T15:00,2.0
novembre,2,2016-11-26T18:00,8.0
novembre,2,2016-11-26T21:00,0.0
novembre,2,2016-11-27T00:00,0.0
novembre,2,2016-11-27T03:00,0.0
novembre,2,2016-11-27T06:00,2.0
novembre,2,2016-11-27T09:00,8.0
novembre,2,2016-11-27T12:00,7.0
novembre,2,2016-11-27T15:00,7.0
novembre,2,2016-11-27T18:00,13.0
novembre,2,2016-11-27T21:00,3.0
novembre,2,2016-11-28T00:00,0.0
novembre,2,2016-11-28T03:00,0.0
novembre,2,2016-11-28T06:00,8.0
novembre,2,2016-11-28T09:00,27.0
novembre,2,2016-11-28T12:00,14.0
novembre,2,2016-11-28T15:00,6.0
novembre,2,2016-11-28T18:00,21.0
novembre,2,2016-11-28T21:00,6.0
novembre,2,2016-11-29T00:00,0.0
novembre,2,2016-11-29T03:00,0.0
novembre,2,2016-11-29T06:00,13.0
novembre,2,2016-11-29T09:00,35.0
novembre,2,2016-11-29T12:00,10.0
novembre,2,2016-11-29T15:00,8.0
novembre,2,2016-11-29T18:00,32.0
novembre,2,2016-11-29T21:00,5.0
novembre,2,2016-11-30T00:00,1.0
novembre,2,2016-11-30T03:00,0.0
novembre,2,2016-11-30T06:00,8.0
novembre,2,2016-11-30T09:00,31.0
novembre,2,2016-11-30T12:00,21.0
novembre,2,2016-11-30T15:00,5.0
novembre,2,2016-11-30T18:00,17.0
novembre,2,2016-11-30T21:00,7.0
novembre,2,2016-12-01T00:00,0.0
novembre,2,2016-12-01T03:00,0.0
novembre,2,2016-12-01T06:00,0.0
novembre,2,2016-12-01T09:00,1.0
novembre,2,2016-12-01T12:00,0.0
novembre,2,2016-12-01T15:00,0.0
novembre,2,2016-12-01T18:00,0.0
novembre,2,2016-12-01T21:00,0.0
novembre,2,2016-12-02T00:00,0.0
novembre,2,2016-12-02T03:00,0.0
novembre,2,2016-12-02T06:00,0.0
novembre,2,2016-12-02T09:00,1.0
novembre,2,2016-12-02T12:00,0.0
gt,2,2016-11-26T15:00,9.0
gt,2,2016-11-26T18:00,6.0
gt,2,2016-11-26T21:00,9.0
gt,2,2016-11-27T00:00,0.0
gt,2,2016-11-27T03:00,0.0
gt,2,2016-11-27T06:00,6.0
gt,2,2016-11-27T09:00,13.0
gt,2,2016-11-27T12:00,7.0
gt,2,2016-11-27T15:00,16.0
gt,2,2016-11-27T18:00,19.0
gt,2,2016-11-27T21:00,14.0
gt,2,2016-11-28T00:00,0.0
gt,2,2016-11-28T03:00,0.0
gt,2,2016-11-28T06:00,9.0
gt,2,2016-11-28T09:00,35.0
gt,2,2016-11-28T12:00,20.0
gt,2,2016-11-28T15:00,22.0
gt,2,2016-11-28T18:00,33.0
gt,2,2016-11-28T21:00,18.0
gt,2,2016-11-29T00:00,0.0
gt,2,2016-11-29T03:00,0.0
gt,2,2016-11-29T06:00,15.0
gt,2,2016-11-29T09:00,42.0
gt,2,2016-11-29T12:00,30.0
gt,2,2016-11-29T15:00,20.0
gt,2,2016-11-29T18:00,37.0
gt,2,2016-11-29T21:00,10.0
gt,2,2016-11-30T00:00,1.0
gt,2,2016-11-30T03:00,0.0
gt,2,2016-11-30T06:00,14.0
gt,2,2016-11-30T09:00,37.0
gt,2,2016-11-30T12:00,17.0
gt,2,2016-11-30T15:00,11.0
gt,2,2016-11-30T18:00,33.0
gt,2,2016-11-30T21:00,12.0
gt,2,2016-12-01T00:00,0.0
gt,2,2016-12-01T03:00,0.0
gt,2,2016-12-01T06:00,12.0
gt,2,2016-12-01T09:00,23.0
gt,2,2016-12-01T12:00,21.0
gt,2,2016-12-01T15:00,17.0
gt,2,2016-12-01T18:00,34.0
gt,2,2016-12-01T21:00,15.0
gt,2,2016-12-02T00:00,0.0
gt,2,2016-12-02T03:00,0.0
gt,2,2016-12-02T06:00,13.0
gt,2,2016-12-02T09:00,35.0
gt,2,2016-12-02T12:00,22.0
ln,3,2016-11-26T15:00,18.0
ln,3,2016-11-26T18:00,15.0
ln,3,2016-11-26T21:00,13.0
ln,3,2016-11-27T00:00,0.0
ln,3,2016-11-27T03:00,0.0
ln,3,2016-11-27T06:00,11.0
ln,3,2016-11-27T09:00,20.0
ln,3,2016-11-27T12:00,21.0
ln,3,2016-11-27T15:00,34.0
ln,3,2016-11-27T18:00,23.0
ln,3,2016-11-27T21:00,12.0
ln,3,2016-11-28T00:00,0.0
ln,3,2016-11-28T03:00,0.0
ln,3,2016-11-28T06:00,12.0
ln,3,2016-11-28T09:00,26.0
ln,3,2016-11-28T12:00,26.0
ln,3,2016-11-28T15:00,23.0
ln,3,2016-11-28T18:00,36.0
ln,3,2016-11-28T21:00,23.0
ln,3,2016-11-29T00:00,0.0
ln,3,2016-11-29T03:00,0.0
ln,3,2016-11-29T06:00,14.0
ln,3,2016-11-29T09:00,34.0
ln,3,2016-11-29T12:00,28.0
ln,3,2016-11-29T15:00,23.0
ln,3,2016-11-29T18:00,32.0
ln,3,2016-11-29T21:00,19.0
ln,3,2016-11-30T00:00,0.0
ln,3,2016-11-30T03:00,0.0
ln,3,2016-11-30T06:00,14.0
ln,3,2016-11-30T09:00,33.0
ln,3,2016-11-30T12:00,20.0
ln,3,2016-11-30T15:00,25.0
ln,3,2016-11-30T18:00,29.0
ln,3,2016-11-30T21:00,27.0
ln,3,2016-12-01T00:00,0.0
ln,3,2016-12-01T03:00,0.0
ln,3,2016-12-01T06:00,12.0
ln,3,2016-12-01T09:00,23.0
ln,3,2016-12-01T12:00,22.0
ln,3,2016-12-01T15:00,29.0
ln,3,2016-12-01T18:00,28.0
ln,3,2016-12-01T21:00,27.0
ln,3,2016-12-02T00:00,0.0
ln,3,2016-12-02T03:00,0.0
ln,3,2016-12-02T06:00,16.0
ln,3,2016-12-02T09:00,30.0
ln,3,2016-12-02T12:00,29.0
padania,3,2016-11-26T15:00,19.0
padania,3,2016-11-26T18:00,15.0
padania,3,2016-11-26T21:00,13.0
padania,3,2016-11-27T00:00,0.0
padania,3,2016-11-27T03:00,0.0
padania,3,2016-11-27T06:00,11.0
