support,user,created_at
yes,stefaniapezzopa,2016-12-01T01:00
yes,SenatoriPD,2016-11-30T12:00
no,LelloEsposito5,2016-11-28T22:00
no,EGardini,2016-11-28T12:00
yes,danieledvpd,2016-11-28T00:00
yes,graziano_delrio,2016-11-28T13:00
yes,enrico_zanetti,2016-11-27T14:00
yes,antgentile,2016-11-30T21:00
yes,erealacci,2016-11-28T14:00
yes,danieledvpd,2016-12-01T22:00
no,NichiVendola,2016-11-29T18:00
yes,MarcoMariani_IT,2016-11-28T21:00
no,LelloEsposito5,2016-11-28T07:00
no,LelloEsposito5,2016-11-29T20:00
no,social_5stars,2016-11-29T11:00
no,LelloEsposito5,2016-11-29T11:00
no,gasparripdl,2016-11-27T22:00
yes,AnnaLeonardi1,2016-11-28T18:00
yes,TeresaBellanova,2016-11-28T21:00
yes,Deputatipd,2016-11-29T14:00
yes,pdnetwork,2016-11-29T22:00
yes,fabriziobarca,2016-12-01T19:00
yes,AntonellaGramig,2016-12-02T08:00
no,iovotono,2016-12-01T08:00
yes,danieledvpd,2016-11-27T15:00
no,GruppoFICamera,2016-11-28T10:00
yes,stefaniapezzopa,2016-11-30T01:00
no,giulianocossari,2016-11-29T21:00
yes,MarcoMariani_IT,2016-12-02T12:00
yes,SenatoriPD,2016-12-01T16:00
no,renatobrunetta,2016-11-28T13:00
no,antonio_bordin,2016-11-29T23:00
yes,danieledvpd,2016-12-01T16:00
no,renatobrunetta,2016-11-28T11:00
yes,AntonellaGramig,2016-11-28T15:00
yes,lauraboldrini,2016-12-02T10:00
yes,Deputatipd,2016-11-27T13:00
yes,SenatoriPD,2016-11-27T15:00
yes,StefanoCeccanti,2016-12-01T14:00
yes,danieledvpd,2016-11-28T22:00
no,giulianocossari,2016-11-28T17:00
yes,VicoLudovico,2016-11-30T21:00
no,giacomos,2016-11-27T17:00
yes,sbonaccini,2016-11-29T11:00
yes,danielecina,2016-11-29T10:00
yes,rosariocrocetta,2016-11-30T20:00
yes,ErasmoDAngelis,2016-11-29T18:00
no,iovotono,2016-12-01T13:00
no,renatobrunetta,2016-11-28T11:00
yes,AntonellaGramig,2016-11-28T21:00
no,giulianocossari,2016-12-02T08:00
no,iovotono,2016-12-01T08:00
no,Storace,2016-12-01T08:00
yes,danielecina,2016-12-01T13:00
yes,AntonellaGramig,2016-12-02T08:00
no,forza_italia,2016-11-30T17:00
yes,danieledvpd,2016-11-29T23:00
yes,danieledvpd,2016-11-28T00:00
yes,AnnaAscani,2016-12-01T10:00
no,forza_italia,2016-11-29T17:00
no,iovotono,2016-11-26T18:00
yes,AntoDiMario,2016-12-02T10:00
no,iovotono,2016-11-26T20:00
no,vitopetrocelli,2016-11-28T00:00
yes,SenatoriPD,2016-11-30T12:00
no,LegaNordPadania,2016-11-27T17:00
no,giulianocossari,2016-12-01T12:00
yes,CarloSantaroni,2016-11-27T15:00
yes,ivanscalfarotto,2016-12-02T14:00
yes,fnicodemo,2016-11-27T22:00
yes,AntoDiMario,2016-11-28T23:00
yes,MarcoMariani_IT,2016-12-02T06:00
yes,danieledvpd,2016-11-30T09:00
no,LeolucaOrlando1,2016-11-29T18:00
no,NichiVendola,2016-11-29T18:00
no,PossibileIt,2016-11-27T11:00
yes,fabriziobarca,2016-11-26T21:00
yes,danieledvpd,2016-11-28T22:00
yes,sbonaccini,2016-11-28T10:00
no,giulianocossari,2016-12-01T22:00
no,GiuliaDiVita,2016-11-26T21:00
yes,danielecina,2016-11-30T22:00
yes,fabriziobarca,2016-11-28T12:00
no,forza_italia,2016-12-02T08:00
no,GruppoFICamera,2016-12-01T15:00
no,iovotono,2016-12-01T08:00
no,beppe_grillo,2016-12-01T10:00
yes,danielecina,2016-11-28T15:00
yes,fabriziobarca,2016-11-27T20:00
no,Capezzone,2016-11-30T07:00
no,LelloEsposito5,2016-11-29T10:00
yes,SenatoriPD,2016-11-30T12:00
no,vilmamoronese,2016-11-30T17:00
no,forza_italia,2016-11-29T09:00
yes,AntonellaGramig,2016-12-02T08:00
yes,Deputatipd,2016-11-29T14:00
yes,danieledvpd,2016-11-27T14:00
yes,Deputatipd,2016-12-01T13:00
no,IlMattinale,2016-12-01T15:00
yes,antgentile,2016-11-29T18:00
no,giulianocossari,2016-11-28T22:00
yes,danieledvpd,2016-12-01T16:00
yes,SenatoriPD,2016-12-01T16:00
yes,RaffaelePizzati,2016-12-01T01:00
